,Return,Risk,Sharpe,MaxDrawdown,Calmar
Z0,0.11124859433333334,0.1139798082713203,0.9760377387941773,0.3206844744590873,0.346909823186736
Z1,0.10288112825,0.1241268902395465,0.8288383609019341,0.3987193935209431,0.25802890434170983
Z2,0.12018079741666665,0.14170482849734967,0.8481065796492208,0.42886031403194147,0.2802329651041472
Z3,0.16408563183333336,0.1797765201842756,0.912720035214506,0.4078941098120833,0.4022750706278342
Z4,0.20029341666666667,0.2676713522006344,0.7482811104736218,0.4805179990227153,0.4168281252190894
