,Return,Risk,Sharpe,MaxDrawdown,Calmar
SimZ0,0.09104488564666667,0.11549628550923956,0.7882927597648428,0.39884256490675096,0.2282727413207587
SimZ1,0.08924503475999998,0.11576069241061956,0.7709442030930085,0.4408587325740737,0.20243454005984765
SimZ2,0.09612419340666667,0.12828281169633965,0.749314675407987,0.48500402603002024,0.1981925679947178
SimZ3,0.11176507552333333,0.1495098836463043,0.7475430573388452,0.5528823817050119,0.20214982285864394
SimZ4,0.14915303651999998,0.17576105991063984,0.8486125231369913,0.5938663095257861,0.25115591527510894
