,Return,Risk,Sharpe,MaxDrawdown,Calmar
SimZ0,0.10791710286999998,0.11523655883586847,0.9364832129680859,0.34586032429335056,0.3120251017242071
SimZ1,0.09327085645,0.11588178806003531,0.8048793344617604,0.3956837942385548,0.23572068861068313
SimZ2,0.1059235684,0.13058939103091988,0.811119246087305,0.45689253298258414,0.2318347549007495
SimZ3,0.11464698790000002,0.15024193397994756,0.7630824821204824,0.48114646780058734,0.23827876867531286
SimZ4,0.14533386484666666,0.1766559634346562,0.8226943603883751,0.5212126767107629,0.27883793188575295
