,Return,Risk,Sharpe,MaxDrawdown,Calmar
SimZ0,0.09749826357000001,0.11475622848725406,0.8496119544468047,0.3958831575509262,0.24628040296828715
SimZ1,0.09530597711666666,0.11958056766282459,0.7970022134816772,0.4373971848090511,0.21789343970806116
SimZ2,0.09626846036333332,0.13215382530378383,0.7284576147685448,0.4842390300411884,0.19880359572656695
SimZ3,0.12013786409000002,0.15450625196251574,0.7775598887684252,0.5360180138790237,0.22413027357157903
SimZ4,0.15766809940333332,0.18819306469570016,0.8377997332594357,0.601896818330568,0.2619520399536991
