,Return,Risk,Sharpe,MaxDrawdown,Calmar
SimZ0,0.09756561790999999,0.11425141362956742,0.8539554549962323,0.40172503483828115,0.24286666114616456
SimZ1,0.09530829891666666,0.1184659530815001,0.8045205937869605,0.44925555621725577,0.21214717903361102
SimZ2,0.10697922989666667,0.1291364594606415,0.8284200321387317,0.48147041902457544,0.22219273639572482
SimZ3,0.11820785617999999,0.14875994193579925,0.7946215536371699,0.5557746762491111,0.21269025241987902
SimZ4,0.14172723669666665,0.17609358955995583,0.8048404093007132,0.6099705925958975,0.23235093366305978
