,Return,Risk,Sharpe,MaxDrawdown,Calmar
SimZ0,0.10063832780333333,0.11482951715952171,0.8764151438826142,0.3957467116459593,0.25429984594127425
SimZ1,0.09218525533333333,0.11556216696559024,0.7977113769490182,0.4146974194964488,0.22229522297310256
SimZ2,0.10847733329333334,0.13230349832462146,0.8199128115809308,0.46710856864529504,0.23223152083880313
SimZ3,0.11565487808999998,0.15150717473790914,0.7633623839271657,0.5361617654285364,0.21570892508077455
SimZ4,0.13617341752666667,0.19158526156321917,0.710771885141761,0.593314491451967,0.22951304828813687
