,Return,Risk,Sharpe,MaxDrawdown,Calmar
Z0,0.08775990583333333,0.11591906742580604,0.7570791223756526,0.4220023340061715,0.20796071197096722
Z1,0.08410745508333332,0.12238804300506047,0.6872195438230487,0.46930508337666077,0.17921701269071766
Z2,0.09787720974999999,0.1512758214139901,0.6470115900553837,0.5460538775680982,0.17924460162412043
Z3,0.1484187893333333,0.18818284594516757,0.7886945730248938,0.5480652241744657,0.2708049750043749
Z4,0.2950335833333333,0.3145391289082718,0.9379869027976266,0.4805179990227153,0.6139907015624326
