,Return,Risk,Sharpe,MaxDrawdown,Calmar
Z0,0.11705209108333334,0.12157864558978346,0.9627685068830008,0.3725891636016978,0.314158602874622
Z1,0.10328718191666666,0.12797526013563004,0.8070871026728245,0.3624763185823885,0.28494877215872566
Z2,0.11854057091666667,0.15515651680851064,0.7640063940270441,0.38735837811182083,0.3060229947639003
Z3,0.14515751566666665,0.19448075899387643,0.7463849710255255,0.4090140637435489,0.35489614791749596
Z4,0.15245766666666666,0.27868139314764623,0.5470679794753793,0.4830012056416648,0.31564655509322664
