,Return,Risk,Sharpe,MaxDrawdown,Calmar
SimZ0,0.11242874992666667,0.11378069072432773,0.9881180120365363,0.35085554299557975,0.3204417093335849
SimZ1,0.11008607927666667,0.11650554087856888,0.9448999459296697,0.3782613819287629,0.29103176939537256
SimZ2,0.11743048372,0.12849359641312189,0.9139014472164614,0.4413873935682887,0.26604856738354465
SimZ3,0.13913976819333332,0.15150663450014296,0.9183740939952173,0.47790660719299605,0.29114426563502943
SimZ4,0.1592850451033333,0.1881912752143792,0.8463997330475751,0.5230111093503994,0.3045538464778916
