,Return,Risk,Sharpe,MaxDrawdown,Calmar
Z0,0.09386524225000002,0.11522855976531048,0.8146004987060346,0.3922106877863012,0.23932351966181803
Z1,0.08276182433333334,0.1218248214669924,0.6793510824537271,0.4563455044716934,0.18135781665943193
Z2,0.10251489975,0.14417806190302845,0.711029808535987,0.5051132619290144,0.20295428268602228
Z3,0.15522387566666668,0.18820428640547363,0.8247627013778377,0.54657962444955,0.28399133213754485
Z4,0.22569699999999995,0.3397941009227745,0.6642169460478492,0.7259539821038488,0.31089711684743354
