,Return,Risk,Sharpe,MaxDrawdown,Calmar
SimZ0,0.11408088071333335,0.12685742200573527,0.8992842429682648,0.3100865614811157,0.3679001120475222
SimZ1,0.11711739786333336,0.12331871978753461,0.9497130530151019,0.33121686698932173,0.3535973240973539
SimZ2,0.12933047393666666,0.13732387206143876,0.9417916345877879,0.3661433703563234,0.35322358509674734
SimZ3,0.15877467585333335,0.16266746473468022,0.9760690382204197,0.4232615796836382,0.3751218713779965
SimZ4,0.17066864624333333,0.1922139330560658,0.8879098592376857,0.4852810065426314,0.35169034835971946
