,Return,Risk,Sharpe,MaxDrawdown,Calmar
Z0,0.11886438583333334,0.12542149927673502,0.9477193823928559,0.2965125058723609,0.40087478092576856
Z1,0.11531898466666671,0.1294731269874847,0.8906789180878734,0.30185510482844846,0.3820342370297341
Z2,0.11677554533333333,0.15326380471384235,0.7619251365406466,0.35836893728631014,0.32585286609268355
Z3,0.14273492524999998,0.19691908116247428,0.7248405000033087,0.43017534416857894,0.3318063835710315
Z4,0.1557029166666667,0.28041073515804354,0.5552673173475697,0.4865157219202112,0.32003676274248344
