,Return,Risk,Sharpe,MaxDrawdown,Calmar
SimZ0,0.10018568735666666,0.1149560215713954,0.8715131751010071,0.3966811079914283,0.25255976485482523
SimZ1,0.10140739362666669,0.11698529813134036,0.8668387844155919,0.4239745052520112,0.23918276304465513
SimZ2,0.10268767508333335,0.12966929330057375,0.7919197557844558,0.48623938764918107,0.2111874884916191
SimZ3,0.11785600902666668,0.15347146309222665,0.7679343550392992,0.5606181396516055,0.2102251081278033
SimZ4,0.14063637166999998,0.17424772829471682,0.8071059120617762,0.5694193775800709,0.24698206138975998
