,Return,Risk,Sharpe,MaxDrawdown,Calmar
Z0,0.09999031225000002,0.11405628281013662,0.8766751798885866,0.38525959472307447,0.25954009613147544
Z1,0.08588396975,0.12465533078465667,0.688971496119692,0.4862290513402392,0.17663274029651227
Z2,0.11413945766666665,0.14484615746464186,0.7880047331909998,0.5024312473603787,0.22717428158841776
Z3,0.16201344566666664,0.1856418217892108,0.8727206192289296,0.5384117115652416,0.30090995828391226
Z4,0.24746641666666663,0.31065370414728677,0.796598956854344,0.4805179990227153,0.5149992657298322
