,Return,Risk,Sharpe,MaxDrawdown,Calmar
SimZ0,0.11285602267666665,0.12141796633652382,0.9294837171285939,0.35117477174056555,0.3213671133530069
SimZ1,0.11732875939666665,0.12377769504791512,0.9478990487845806,0.36541399774654326,0.3210844689043567
SimZ2,0.12144740435333334,0.1386874861757209,0.8756911506742295,0.4187833178528313,0.29000057828476433
SimZ3,0.14533265391666667,0.16362135807781378,0.8882254469954374,0.46000479487224855,0.3159372587779832
SimZ4,0.14734718987666665,0.2003681019897695,0.7353824706299308,0.5306870817239354,0.27765362103409363
