,Return,Risk,Sharpe,MaxDrawdown,Calmar
Z0,0.10386437625,0.11418769934188726,0.9095933874542967,0.33322925588611185,0.31169044858863726
Z1,0.09611784991666666,0.1197057724029265,0.8029508350953745,0.3954797486002335,0.24304114245259717
Z2,0.10155170308333333,0.14131221700689564,0.7186335706443406,0.4205628609657218,0.24146616952848424
Z3,0.14398859441666667,0.1783995706728506,0.8071128976017167,0.4139734798896062,0.3478208180269517
Z4,0.14049525,0.2678237119845872,0.5245810722244236,0.4805179990227153,0.29238290820685453
