,Return,Risk,Sharpe,MaxDrawdown,Calmar
Z0,0.10295162858333332,0.11433291314445335,0.900454871234319,0.37509875051770514,0.2744653999546551
Z1,0.07995539541666667,0.12474773596217131,0.6409366454627479,0.45942334154739495,0.17403424725301714
Z2,0.10555850141666664,0.150760490968398,0.700173505264012,0.4770232151280487,0.22128587890283555
Z3,0.1494858845833333,0.19215728657011313,0.7779350304719767,0.4875403212052053,0.30661235200773235
Z4,0.14288141666666665,0.28144858026383296,0.5076643717041601,0.4805179990227153,0.2973487298233594
