,Return,Risk,Sharpe,MaxDrawdown,Calmar
Z0,0.08748496391666667,0.1144554873261116,0.7643579697266997,0.3798654689599631,0.23030512395925984
Z1,0.08090846258333334,0.12652339150263991,0.6394743424313375,0.4811305997325628,0.16816320273187038
Z2,0.10934320966666669,0.1532003327873264,0.7137269722413565,0.5229529500675412,0.20908804444557516
Z3,0.16522206333333334,0.19283493666611878,0.8568056504169919,0.546265268796023,0.3024575655294456
Z4,0.24712633333333328,0.3106669695541114,0.7954702544915683,0.4805179990227153,0.5142915225567877
