,Z0,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Z41,Z42,Z43,Z44,Z45,Z46,Z47,Z48,Z49,Z50,Z51,Z52,Z53,Z54,Z55,Z56,Z57,Z58,Z59,Z60,Z61,Z62,Z63,Z64,Z65,Z66,Z67,Z68,Z69,Z70,Z71,Z72,Z73,Z74,Z75,Z76,Z77,Z78,Z79,Z80,Z81,Z82,Z83,Z84,Z85,Z86,Z87,Z88,Z89,Z90,Z91,Z92,Z93,Z94,Z95,Z96,Z97,Z98,Z99
count,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
mean,0.10930601999999999,0.10532512000000002,0.10262861999999996,0.10597730000000002,0.10484046000000002,0.10875626000000002,0.1119309,0.10064274000000001,0.1107288,0.11242004000000001,0.12139598000000001,0.10771538000000001,0.12725637999999997,0.12129552,0.12073500000000002,0.12461261999999997,0.12568729999999997,0.13089851999999996,0.12667779999999998,0.12233988000000001,0.13888214000000002,0.13416759999999997,0.1540833,0.18377612000000002,0.15997308000000002,0.16382394,0.15746306000000002,0.16742378000000002,0.1597622,0.1852146,0.2051819199999999,0.18743698000000003,0.22810238,0.22175656,0.20923856000000002,0.22326942000000002,0.2119949399999999,0.21029099999999995,0.23081722,0.24683360000000001,0.23518582,0.3132066399999999,0.2652106400000001,0.23570236,0.26948293999999995,0.31951502,0.29256219999999994,0.3005501,0.31348348000000004,0.3715743400000001,0.3833683599999999,0.36599998000000006,0.31922713999999996,0.38663556000000004,0.39974386,0.3608634999999999,0.43237785999999995,0.4244645799999999,0.40152225999999985,0.5008791400000001,0.4900413000000001,0.5348184800000001,0.4940574200000001,0.51615408,0.4768857800000001,0.4851946,0.6137360599999999,0.52008212,0.5647055800000002,0.55582572,0.6005876199999998,0.5535251200000001,0.6093484800000002,0.5546632400000001,0.5590967,0.59608638,0.63741568,0.6271360200000001,0.710248,0.64514706,0.6992520199999999,0.7824561200000002,0.80091724,0.7080215599999999,0.6719992200000001,0.8018757600000002,0.8100127400000001,0.8733121399999999,0.7409921399999998,0.71365918,0.6920892599999999,0.8501234199999999,0.8499315,0.9190550200000002,0.94367626,0.93345274,1.0152324600000002,0.8695720399999998,0.92146354,1.0214461600000002
std,0.026490937175346656,0.029392925629942772,0.02207755459311191,0.030435785207447455,0.023697666354762295,0.024823783777930993,0.024568570279974385,0.023444613521572896,0.024950811391657002,0.03700331499543559,0.04185135611705225,0.02516436782833202,0.04603720823105801,0.03983886653079848,0.023357962983417323,0.028608469431621122,0.05470923479642358,0.046125999047967096,0.04167089424164016,0.03146556192750858,0.05733432159728426,0.04021999196866135,0.12719177833095108,0.13895360451921812,0.0855067793447504,0.06208598045482685,0.06147542255489139,0.11343168157544105,0.05002748589505166,0.14178362627408206,0.09181360051686796,0.08795434403038838,0.21306346815472132,0.15580744512327793,0.08654891925029616,0.1559763483170772,0.13237789741469347,0.0785006549919379,0.1699166657228748,0.165817528049876,0.1082984375304573,0.23274076638075333,0.15393015783521394,0.09559495792394077,0.16274173117768725,0.2075673183426986,0.19090370881645427,0.20033535821892273,0.2275629170979583,0.3503823528862527,0.29642801187016105,0.20997078469931119,0.22344841752486802,0.23898248394989893,0.2656001209929502,0.17030512107573997,0.25515958735326044,0.25796826205768975,0.285815264350859,0.3308277195218085,0.3253664253459757,0.33230949949021676,0.32483916477788743,0.37042997598405086,0.3293744152657346,0.29782074287053817,0.3387151608767033,0.3117074364152988,0.34405786457940835,0.3384566681805504,0.4074000791085198,0.3005517773232236,0.3973789053403303,0.30468738411774227,0.2799556205817563,0.3899211609780168,0.38541389605135845,0.3617258038238068,0.3674491487080705,0.3827778243815355,0.347632836109846,0.3960413062460109,0.4706864093248116,0.3928013311344896,0.3342454194502004,0.41014804887103473,0.4695686823911967,0.40220196701804445,0.39861978364704476,0.314929903598238,0.39367212833051557,0.42808645216057967,0.37954646863545294,0.3854843863270449,0.3925803013622381,0.5148896463522324,0.5360761996976302,0.4221681773525594,0.513521181273667,0.4422731117142927
min,0.068478,0.06218700000000001,0.061172999999999984,0.060733999999999976,0.056405000000000004,0.06555200000000001,0.075018,0.053291,0.072857,0.071934,0.064207,0.06747399999999999,0.068263,0.061095,0.084548,0.08451600000000001,0.07845300000000001,0.07626700000000003,0.07364400000000002,0.07681100000000002,0.06739200000000001,0.07915500000000002,0.07727900000000001,0.076608,0.09527400000000001,0.078161,0.06631000000000001,0.089886,0.094408,0.06878100000000001,0.07981900000000001,0.07761799999999999,0.087027,0.07397799999999999,0.105995,0.082804,0.094575,0.093701,0.074811,0.10358500000000001,0.09968999999999999,0.094245,0.11493500000000001,0.108142,0.08973,0.122426,0.094973,0.129183,0.13049699999999997,0.097343,0.094273,0.13000699999999998,0.113252,0.156402,0.153593,0.16704300000000002,0.158586,0.15756399999999998,0.13082,0.132434,0.14376499999999998,0.14858,0.133873,0.16711399999999998,0.16536299999999998,0.104351,0.12313,0.15172000000000002,0.212829,0.201976,0.147754,0.16822499999999999,0.19369999999999998,0.158567,0.18344700000000003,0.184201,0.211407,0.221827,0.266777,0.220171,0.19206600000000001,0.25663,0.31066200000000005,0.17695499999999997,0.20413099999999998,0.231055,0.24525400000000003,0.257524,0.20729099999999998,0.252807,0.20164100000000001,0.268577,0.260189,0.19236599999999998,0.30634399999999995,0.252436,0.264662,0.29223499999999997,0.21449700000000002,0.30586199999999997
25%,0.09357275000000001,0.08267899999999999,0.08553949999999999,0.08695149999999999,0.08784850000000001,0.09278075000000002,0.09319725000000001,0.08468975,0.09114900000000001,0.09158899999999999,0.0945605,0.08930725,0.10072450000000001,0.09234300000000001,0.1021155,0.10296924999999998,0.09590100000000001,0.105435,0.10199924999999999,0.09441550000000001,0.10207724999999998,0.10623325,0.11071475,0.11952600000000001,0.11410299999999998,0.11966675000000002,0.11543725,0.121713,0.12312825000000001,0.11942549999999999,0.1470895,0.142473,0.1294385,0.128824,0.14502125,0.13525549999999997,0.14559999999999998,0.16448975,0.14389575,0.15625325,0.16670225,0.18006474999999997,0.18185425,0.17275725000000003,0.1773305,0.19693025000000003,0.17639400000000002,0.19544899999999998,0.18526775,0.1984135,0.205447,0.2386685,0.189556,0.22535899999999995,0.23638025000000001,0.23973525,0.27499299999999993,0.25379875,0.22701700000000002,0.26118850000000005,0.27365525,0.29265725,0.26537599999999995,0.265917,0.26139049999999997,0.2588725,0.36543425,0.27687300000000004,0.31729850000000004,0.31684725,0.36634325,0.37687,0.29359974999999994,0.33064550000000004,0.35970975,0.3677605000000001,0.36759175,0.34863225,0.42759125000000003,0.37182875000000004,0.4464265,0.48767525000000006,0.40884700000000007,0.43719125000000003,0.37190475,0.43295724999999996,0.44223,0.50407675,0.38552999999999993,0.45463575,0.45996549999999997,0.5014525000000001,0.53363425,0.5950795,0.6237425000000001,0.560326,0.587382,0.56632175,0.55988,0.6629005000000001
50%,0.101552,0.10182150000000001,0.10145200000000001,0.0998075,0.10187750000000001,0.10390950000000002,0.1091125,0.097127,0.10755050000000001,0.102882,0.10781349999999998,0.10590099999999998,0.11296700000000001,0.11170100000000002,0.1185345,0.1204395,0.10974249999999999,0.12164150000000001,0.11288650000000001,0.11395649999999999,0.11976600000000001,0.1313975,0.13074800000000003,0.15663349999999998,0.1333225,0.15714450000000002,0.1379895,0.140335,0.145168,0.1597325,0.18544100000000002,0.171306,0.16181450000000003,0.17851700000000004,0.17525000000000002,0.185534,0.1831695,0.1956035,0.177155,0.21000899999999997,0.216021,0.2484025,0.2259585,0.21095000000000003,0.211535,0.26539349999999995,0.24296099999999998,0.247803,0.2313945,0.2587315,0.2480295,0.315762,0.25867549999999995,0.313765,0.3022355,0.3404495,0.349897,0.31949,0.31306049999999996,0.338137,0.324516,0.3955505,0.3908585,0.379254,0.3700615,0.412342,0.4810460000000001,0.41725399999999996,0.4408005,0.4497445,0.46452350000000003,0.47285750000000004,0.43625649999999994,0.43888950000000004,0.47981500000000005,0.430191,0.48304749999999996,0.5068865,0.5869449999999999,0.508276,0.5954025,0.7179009999999999,0.6303745000000001,0.5985590000000001,0.610237,0.75911,0.6425400000000001,0.926758,0.6023185,0.632168,0.5355369999999999,0.758505,0.816608,1.000305,0.9767205,0.9759629999999999,0.978383,0.8049965000000001,0.7512099999999999,1.008489
75%,0.116255,0.11838325000000001,0.11793475,0.11689074999999997,0.11934324999999998,0.12432950000000001,0.12558075000000002,0.110022,0.125552,0.12907824999999998,0.1320905,0.12093275,0.1407485,0.14569425000000003,0.1360555,0.13511450000000003,0.13239975,0.14309324999999998,0.1400925,0.1482945,0.15844475,0.15128275,0.15979174999999998,0.18436625,0.16502775000000003,0.19705825,0.17883949999999998,0.18748299999999998,0.18756775000000003,0.20446750000000002,0.22174075,0.21204799999999996,0.204219,0.25163900000000006,0.26659400000000005,0.253353,0.24272624999999998,0.2362285,0.25414675,0.27222775,0.27888875,0.31609775,0.28463675,0.27316799999999997,0.30697299999999994,0.35763100000000003,0.3189025,0.31873850000000004,0.32584650000000004,0.35927875000000004,0.39449675000000006,0.39360675,0.32838199999999995,0.43889750000000005,0.4511752499999999,0.405437,0.515128,0.51670575,0.47487225000000005,0.7009839999999999,0.6079625000000001,0.7109255,0.49960750000000004,0.688882,0.541766,0.556114,0.9122914999999998,0.5946764999999999,0.7341035,0.6165385,0.6810805,0.6153685,0.9965372499999999,0.7415860000000001,0.615674,0.6365100000000001,0.7988374999999999,0.9413155,1.011793,0.8481565,1.0005229999999998,1.01531875,1.0244170000000001,1.00757575,0.8507035000000001,1.04781325,1.0162547499999999,1.107361,1.01721475,1.002977,0.84262875,1.052689,1.12730225,1.137872,1.15820275,1.0585390000000001,1.16667725,1.0540877499999999,1.1178919999999999,1.227541
max,0.192443,0.18457199999999999,0.14880000000000004,0.23462399999999997,0.16360200000000003,0.16001200000000004,0.21015399999999995,0.17853800000000003,0.183913,0.29968,0.26013800000000004,0.186319,0.290181,0.260465,0.19379000000000005,0.211757,0.3425250000000001,0.368218,0.249833,0.21287700000000004,0.359243,0.274281,1.000324,1.016129,0.636764,0.38126499999999997,0.355099,0.8616720000000001,0.286571,1.057121,0.5941779999999999,0.6201840000000001,1.011881,1.030276,0.449824,1.020164,1.003136,0.47731500000000004,1.003136,1.042025,0.7563279999999999,1.022801,1.0225,0.5662480000000001,1.005625,1.022201,1.055225,1.190969,1.061504,1.9273689999999999,1.229441,1.034225,1.1089,1.1398760000000001,1.2745760000000002,1.009409,1.152881,1.1211039999999999,1.736164,1.582169,1.417316,1.494209,1.299209,2.068121,1.567009,1.167281,1.5285289999999998,1.263169,1.9409,1.763876,2.0739840000000003,1.394384,2.004356,1.299209,1.235225,1.9120249999999999,2.006889,1.719104,1.9082089999999998,2.0168999999999997,1.594441,2.002304,2.198025,1.958441,1.6773289999999998,1.9120249999999999,2.004096,2.0014440000000002,1.839056,1.480249,2.3504639999999997,2.080089,2.0000999999999998,2.051076,1.9120249999999999,2.466489,2.5700250000000002,2.198916,2.178929,2.0361000000000002
