,Return,Risk,Sharpe,MaxDrawdown,Calmar
SimZ0,0.10310323602333335,0.11574753896031414,0.8907596390337414,0.4036210629269702,0.25544562832190076
SimZ1,0.09891190245333333,0.11692122693135966,0.8459704456522769,0.4301359420111459,0.22995498118771546
SimZ2,0.10041352792333334,0.12880865718338447,0.7795557388691269,0.4895680889542795,0.2051063584185343
SimZ3,0.10970178004999998,0.15264899910535512,0.7186537788844991,0.5710420397111896,0.19210806284154278
SimZ4,0.15519652904333336,0.17191657444208772,0.9027432610670898,0.5757408571485851,0.26955969359541354
