,Return,Risk,Sharpe,MaxDrawdown,Calmar
Z0,0.08847761050000001,0.1250773848723542,0.7073829580806672,0.4168188141486808,0.21226875442440973
Z1,0.0822489765,0.12611906936556008,0.6521533731080648,0.4292355175490197,0.19161735955507686
Z2,0.08944999799999999,0.14257681304407213,0.6273811013881336,0.47629442836361635,0.18780399826913655
Z3,0.10797493249999998,0.17964705935483938,0.6010392426559434,0.48882596741597384,0.2208862452025121
Z4,0.10402899999999997,0.3361267075287483,0.30949340730713154,0.6620066512840146,0.1571419256864375
