,Return,Risk,Sharpe,MaxDrawdown,Calmar
SimZ0,0.09326103044,0.1265210947927216,0.7371184275064069,0.4002734298622235,0.2329933077798869
SimZ1,0.08988917331599999,0.12591598002493967,0.7138821720499336,0.4110231086836692,0.21869615458818478
SimZ2,0.084771758212,0.1329011710405015,0.6378556151786344,0.4458341908171216,0.19014189570483805
SimZ3,0.091873177372,0.15169714749075636,0.605635497382034,0.4859960532475103,0.1890409947942734
SimZ4,0.08691640902800002,0.17220627194108776,0.5047226680439048,0.5343176137714716,0.16266805882460444
