,Return,Risk,Sharpe,MaxDrawdown,Calmar
Z0,0.10408423172727271,0.12183469740318323,0.8543069744970143,0.42659863439886747,0.24398632188295874
Z1,0.09958568354545454,0.12344430377358186,0.8067256284916302,0.45507029832367607,0.21883582363492907
Z2,0.11042367227272729,0.1464190323184464,0.7541620138054669,0.5100354170102718,0.21650196945147326
Z3,0.12181198027272727,0.19431620330096938,0.6268750531527063,0.5778177807937135,0.21081383149096156
Z4,0.0853750909090909,0.3272344156314065,0.26089887502925896,0.5998433711784659,0.14232897288063892
