,Return,Risk,Sharpe,MaxDrawdown,Calmar
Z0,0.08916586766666666,0.11866518616008968,0.7514071359258994,0.4292132872006643,0.2077425613922808
Z1,0.09212341291666669,0.12231467528464171,0.7531672933136099,0.456558931295028,0.20177770404218995
Z2,0.10245844383333333,0.14655089177530684,0.6991321758070469,0.5157244668616158,0.1986689606890921
Z3,0.14465672108333333,0.18693531667890495,0.7738330223165228,0.5451026559509065,0.2653751903501302
Z4,0.2950335833333333,0.3145391289082718,0.9379869027976266,0.4805179990227153,0.6139907015624326
