,Return,Risk,Sharpe,MaxDrawdown,Calmar
SimZ0,0.10825911341454544,0.12118205989244961,0.893359244021983,0.4183004013954723,0.25880709904505783
SimZ1,0.10425998729090909,0.12049747110348782,0.8652462689558574,0.44582090021338083,0.23386069886137617
SimZ2,0.1008920110618182,0.13140272637669745,0.7678075930676433,0.4809345810815463,0.2097832325447006
SimZ3,0.10644871521818183,0.15054014839913865,0.7071117994114512,0.542525435470518,0.19620963047725434
SimZ4,0.11867129489454543,0.1810280587478544,0.6555408908175786,0.5998140512004688,0.1978468071180335
